城市,区域,公司全名,公司简称,公司规模,融资阶段,职位名称,工资,工作经验,学历要求,职位福利,行业,发布时间
北京,朝阳区,北京复创时代科技有限公司,北京复创时代科技有限公司,150-500人,不需要融资,数据分析师【管理岗+互联网】,25k-45k,5-10年,本科,5A办公,人工智能,2019/8/14 12:12
北京,朝阳区,时空幻境（北京）科技有限公司,Magic Tavern,150-500人,不需要融资,数据分析师,25k-30k,3-5年,本科,游戏出海 行业前三 国际化团队,游戏,2019/8/14 11:25
北京,朝阳区,北京数美时代科技有限公司,数美,150-500人,B轮,数据分析工程师,20k-40k,1-3年,本科,"大牛如云,技术氛围,大佬领投,待遇给力","企业服务,数据服务",2019/8/14 18:04
北京,朝阳区,北京幻想纵横网络技术有限公司,百度文学,150-500人,未融资,数据分析师,15k-20k,1-3年,本科,六险一金绩效奖金年终奖餐补话费补助,文娱丨内容,2019/8/14 18:12
北京,朝阳区,北京弘合柏基金融信息服务有限责任公司,有利网,2000人以上,不需要融资,数据分析,10k-20k,3-5年,本科,五险一金，周末双休，带薪年假、节日福利,金融,2019/8/1 11:25
北京,朝阳区,北京千橡网景科技发展有限公司,人人公司,2000人以上,上市公司,数据分析师,15k-25k,3-5年,本科,"弹性工作,领导好,市场前景好","社交,金融",2019/8/14 13:42
北京,朝阳区,北京积沙成塔科技有限公司,小帮规划,150-500人,B轮,数据分析师 (MJ000043),15k-25k,1-3年,本科,牛人多，氛围好，福利好,"移动互联网,金融",2019/8/13 14:32
北京,朝阳区,北京亿心宜行汽车技术开发服务有限公司,e代驾,500-2000人,D轮及以上,数据分析师,10k-20k,1-3年,本科,五险一金、补充医疗、高额餐补、高额奖金,"移动互联网,消费生活",2019/8/13 11:24
北京,朝阳区,北京码上赢科技有限公司,码上赢,50-150人,A轮,大数据分析师,15k-22k,1-3年,本科,阿里大牛、带薪年假、五险一金 周末双休,"移动互联网,企业服务",2019/8/14 21:02
北京,朝阳区,凤凰飞扬（北京）新媒体信息技术有限公司,凤凰网,2000人以上,上市公司,数据分析师,15k-20k,不限,不限,平台大、更广阔视野、体系健全。,文娱丨内容,2019/8/13 17:50
北京,朝阳区,北京大米未来科技有限公司,VIPKID,2000人以上,D轮及以上,数据分析师,15k-25k,1-3年,本科,团队氛围好、发展空间大,教育,2019/8/12 14:18
北京,朝阳区,同程网络科技股份有限公司,同程艺龙,2000人以上,上市公司,数据分析师,15k-25k,5-10年,本科,发展空间大，福利多,旅游,2019/8/13 15:03
北京,朝阳区,北京粉笔未来科技有限公司,猿辅导,2000人以上,D轮及以上,数据分析师,15k-30k,3-5年,本科,五一9天假、双休、旅游津贴、nice领导,"移动互联网,教育",2019/8/6 13:14
北京,朝阳区,玖富数科科技集团有限责任公司,玖富数科集团,2000人以上,D轮及以上,数据分析师,15k-30k,3-5年,本科,成长空间大，五险一金,金融,2019/8/6 10:58
北京,朝阳区,车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,数据分析,25k-35k,3-5年,本科,弹性工作，福利多多；,消费生活,2019/8/14 18:42
